indicator,kerala_2011_value,unit,source,target_region,last_updated
Total Households,7853754,Count,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Total Population,33406061,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Male Population,16027412,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Female Population,17378649,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Child Population (0-6),3472955,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Scheduled Castes (SC),3039578,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Scheduled Tribes (ST),484839,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Literate Population,28135824,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Illiterate Population,5270237,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Total Workers,11619066,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
Non-Workers,21786995,Persons,"Primary Census Abstract, 2011 Kerala",Kerala State Level,2026-09-13
