district,target_enterprises,enterprises_formed,achievement_percent,investment_crore,employment_generated,source_x,data_level_x,last_updated_x,sno.,number_of_non_households_enterprises_and_institutions_having_cattle,number_of_non_households_enterprises_and_institutions_having_buffaloes,number_of_non_households_enterprises_and_institutions_having_goats,number_of_non_households_enterprises_and_institutions_having_sheep,number_of_non_households_enterprises_and_institutions_having_pigs,number_of_non_households_enterprises_and_institutions_having_poultry_farm_&_hatcheries,source_y,data_level_y,last_updated_y,economic_activity_score
Alappuzha,9666,9953,102.97,527.58,21213,Kerala Year of Enterprises Dashboard,district,2026-09-13,1,123,8,19,0,65,12450,Kerala Livestock Enterprises Data,district,2026-09-12,73.98384857479147
Ernakulam,14610,14128,96.7,1172.46,33765,Kerala Year of Enterprises Dashboard,district,2026-09-13,2,248,51,32,1,53,425,Kerala Livestock Enterprises Data,district,2026-09-12,98.35
Idukki,5007,4112,82.13,232.46,8519,Kerala Year of Enterprises Dashboard,district,2026-09-13,3,114,9,12,0,33,196,Kerala Livestock Enterprises Data,district,2026-09-12,50.978344591713146
Kannur,11366,11702,102.96,698.47,23905,Kerala Year of Enterprises Dashboard,district,2026-09-13,4,91,6,8,0,15,2079,Kerala Livestock Enterprises Data,district,2026-09-12,81.26651723726182
Kasaragod,5965,4754,79.7,298.86,9429,Kerala Year of Enterprises Dashboard,district,2026-09-13,5,18,5,8,0,9,105,Kerala Livestock Enterprises Data,district,2026-09-12,52.59499769714958
Kollam,11775,11985,101.78,622.58,24449,Kerala Year of Enterprises Dashboard,district,2026-09-13,6,55,5,14,0,4,85,Kerala Livestock Enterprises Data,district,2026-09-12,77.44015949371408
Kottayam,8834,7958,90.08,438.24,16603,Kerala Year of Enterprises Dashboard,district,2026-09-13,7,179,23,11,0,37,150,Kerala Livestock Enterprises Data,district,2026-09-12,63.728910495880456
Kozhikode,13925,12224,87.78,856.93,26495,Kerala Year of Enterprises Dashboard,district,2026-09-13,8,43,6,3,0,3,28,Kerala Livestock Enterprises Data,district,2026-09-12,80.43410385002473
Malappuram,18601,12427,66.81,812.06,28816,Kerala Year of Enterprises Dashboard,district,2026-09-13,9,13,0,1,0,1,61,Kerala Livestock Enterprises Data,district,2026-09-12,68.03560573495045
Palakkad,12721,12557,98.71,674.56,27729,Kerala Year of Enterprises Dashboard,district,2026-09-13,10,57,21,10,0,10,234,Kerala Livestock Enterprises Data,district,2026-09-12,78.12186624703614
Pathanamthitta,5408,5532,102.29,257.53,11478,Kerala Year of Enterprises Dashboard,district,2026-09-13,11,19,5,7,1,3,47,Kerala Livestock Enterprises Data,district,2026-09-12,62.127464220527784
Thiruvananthapuram,14902,14434,96.86,840.89,29878,Kerala Year of Enterprises Dashboard,district,2026-09-13,12,109,8,19,1,43,256,Kerala Livestock Enterprises Data,district,2026-09-12,84.29007198539821
Thrissur,13533,14123,104.36,752.42,29536,Kerala Year of Enterprises Dashboard,district,2026-09-13,13,311,47,43,3,49,808,Kerala Livestock Enterprises Data,district,2026-09-12,84.26723538542893
Wayanad,3687,3950,107.13,236.58,8234,Kerala Year of Enterprises Dashboard,district,2026-09-13,14,108,13,22,1,20,56,Kerala Livestock Enterprises Data,district,2026-09-12,63.654043549460106
