district,target_enterprises,enterprises_formed,achievement_percent,investment_crore,employment_generated,source,data_level,last_updated
Wayanad,3687,3950,107.13,236.58,8234,Kerala Year of Enterprises Dashboard,district,2026-09-13
Thrissur,13533,14123,104.36,752.42,29536,Kerala Year of Enterprises Dashboard,district,2026-09-13
Alappuzha,9666,9953,102.97,527.58,21213,Kerala Year of Enterprises Dashboard,district,2026-09-13
Kannur,11366,11702,102.96,698.47,23905,Kerala Year of Enterprises Dashboard,district,2026-09-13
Pathanamthitta,5408,5532,102.29,257.53,11478,Kerala Year of Enterprises Dashboard,district,2026-09-13
Kollam,11775,11985,101.78,622.58,24449,Kerala Year of Enterprises Dashboard,district,2026-09-13
Palakkad,12721,12557,98.71,674.56,27729,Kerala Year of Enterprises Dashboard,district,2026-09-13
Thiruvananthapuram,14902,14434,96.86,840.89,29878,Kerala Year of Enterprises Dashboard,district,2026-09-13
Ernakulam,14610,14128,96.7,1172.46,33765,Kerala Year of Enterprises Dashboard,district,2026-09-13
Kottayam,8834,7958,90.08,438.24,16603,Kerala Year of Enterprises Dashboard,district,2026-09-13
Kozhikode,13925,12224,87.78,856.93,26495,Kerala Year of Enterprises Dashboard,district,2026-09-13
Idukki,5007,4112,82.13,232.46,8519,Kerala Year of Enterprises Dashboard,district,2026-09-13
Kasaragod,5965,4754,79.7,298.86,9429,Kerala Year of Enterprises Dashboard,district,2026-09-13
Malappuram,18601,12427,66.81,812.06,28816,Kerala Year of Enterprises Dashboard,district,2026-09-13
