SNo.,District,Number of Non Households Enterprises and Institutions Having Cattle,Number of Non Households Enterprises and Institutions Having Buffaloes,Number of Non Households Enterprises and Institutions Having Goats,Number of Non Households Enterprises and Institutions Having Sheep,Number of Non Households Enterprises and Institutions Having Pigs,Number of Non Households Enterprises and Institutions Having Poultry Farm & Hatcheries
1,Alappuzha,123,8,19,0,65,12450
2,Ernakulam,248,51,32,1,53,425
3,Idukki,114,9,12,0,33,196
4,Kannur,91,6,8,0,15,2079
5,Kasaragod,18,5,8,0,9,105
6,Kollam,55,5,14,0,4,85
7,Kottayam,179,23,11,0,37,150
8,Kozhikode,43,6,3,0,3,28
9,Malappuram,13,0,1,0,1,61
10,Palakkad,57,21,10,0,10,234
11,Pathanamthitta,19,5,7,1,3,47
12,Thiruvananthapuram,109,8,19,1,43,256
13,Thrissur,311,47,43,3,49,808
14,Wayanad,108,13,22,1,20,56
Total,Total,1488,207,209,7,345,16980
