district,target_enterprises,enterprises_formed,achievement_percent,investment_crore,employment_generated
Wayanad,3687,3950,107.13,236.58,8234
Thrissur,13533,14123,104.36,752.42,29536
Alappuzha,9666,9953,102.97,527.58,21213
Kannur,11366,11702,102.96,698.47,23905
Pathanamthitta,5408,5532,102.29,257.53,11478
Kollam,11775,11985,101.78,622.58,24449
Palakkad,12721,12557,98.71,674.56,27729
Thiruvananthapuram,14902,14434,96.86,840.89,29878
Ernakulam,14610,14128,96.70,1172.46,33765
Kottayam,8834,7958,90.08,438.24,16603
Kozhikode,13925,12224,87.78,856.93,26495
Idukki,5007,4112,82.13,232.46,8519
Kasaragod,5965,4754,79.70,298.86,9429
Malappuram,18601,12427,66.81,812.06,28816
